"Species","pa","X","Y","alt","bats","bushmeat_global","treeloss","mammals","lulc","pop","ppt_m","tmin_m","travel"
"bat_pathogens",1,101.3734947,23.28924003,1413,13,0.225368946790695,0.723024308681488,110.706390380859,0.399240225553513,118.245559692383,115,130.25,82.4874267578125
"bat_pathogens",1,-2.708746283,56.64410445,104,6,9.99999974737875e-06,0.240475669503212,33,0.678328394889832,15.1884899139404,59.75,41.1666679382324,14.053955078125
"bat_pathogens",1,29.45579395,0.493561786,1264,14,0.879939496517181,2.3999240398407,166.067855834961,0.449619680643082,7192.93798828125,131.58332824707,166.33332824707,275.085479736328
"bat_pathogens",1,89.76052135,23.637393,11,6,0.000820179760921746,0.00117199996020645,37.7275505065918,0.779520750045776,1295.99304199219,154.66667175293,206.25,32.2980117797852
"bat_pathogens",1,22.2333,2.81667,466,14,0.716455698013306,5.51995182037354,126.562294006348,0.459691554307938,94.4284210205078,142.41667175293,195.5,257.346374511719
"bat_pathogens",1,113.1616816,22.87054999,1,15,0.00324388826265931,0.0883060023188591,63.2278137207031,0.725508630275726,2718.72802734375,133.25,186.25,36.7784614562988
"bat_pathogens",1,44.17965205,15.32275329,2370,5,0.0050237225368619,2.44444436248159e-06,35.0598831176758,0.707257449626923,7668.892578125,23.75,76.25,91.60791015625
"bat_pathogens",1,145.7336655,-16.8758878,98,12,0.0507274121046066,0.1534723341465,56.8643264770508,0.546875894069672,242.830093383789,182.83332824707,199.83332824707,9868.251953125
"bat_pathogens",1,-50.81425738,-1.9405397,11,9,0.0473849736154079,1.88592934608459,149.24284362793,0.244545459747314,255.549530029297,196.25,215.08332824707,760.057067871094
"bat_pathogens",1,48.63562701,15.92026469,720,2,0.00870899576693773,0,20.613000869751,0.446955978870392,255.721496582031,5.5,181.5,86.1229934692383
"bat_pathogens",1,38.47345725,-3.191479713,678,12,0.775355815887451,0.0567117780447006,137.673706054688,0.254896014928818,21.2075500488281,68.6666641235352,187.91667175293,193.606872558594
"bat_pathogens",1,51.18973252,25.41340026,42,2,0.00323048164136708,0,17,0.533099055290222,397.59375,6.33333349227905,215.58332824707,41.1021957397461
"bat_pathogens",1,89.71692527,23.74820629,11,6,0.00123418017756194,0.00132488890085369,35.2108879089355,0.779058933258057,1071.37512207031,150.5,206.25,24.7463798522949
"bat_pathogens",1,14.67872268,0.493742157,539,13,0.677121043205261,0.244663447141647,121.826606750488,0.209718644618988,12.116042137146,142.16667175293,187.25,977.975952148438
"bat_pathogens",1,29.45579395,0.493561786,1264,14,0.879939496517181,2.3999240398407,166.067855834961,0.449619680643082,7192.93798828125,131.58332824707,166.33332824707,275.085479736328
"bat_pathogens",1,-46.14089506,-1.200369417,15,9,0.194401651620865,1.15421199798584,119.590225219727,0.207242786884308,51.2670402526855,176.66667175293,222.91667175293,381.608703613281
"bat_pathogens",1,49.60300125,25.36024833,150,2,0.0021385767031461,3.9999998989515e-05,21.5417098999023,0.617946445941925,321.909057617188,6.16666650772095,206.5,158.41975402832
"bat_pathogens",1,75.80144435,11.65119487,48,10,0.0186811275780201,0.0938223302364349,60.9797973632812,0.572184979915619,595.935729980469,296.166656494141,235,67.6713638305664
"bat_pathogens",1,-1.293041928,51.67125313,86,11,9.99999974737875e-06,0.0250696670264006,38.0025329589844,0.710601449012756,509.292236328125,53.5833320617676,60.1666679382324,3.31946349143982
"bat_pathogens",1,76.20870352,10.16665194,8,9,0.0114368675276637,0.0935016646981239,50.8620529174805,0.720783948898315,1503.4814453125,269.416656494141,237.75,27356.623046875
"bat_pathogens",1,148.9984774,-20.27545095,109,0,0.0135349379852414,0.0758307725191116,14.3687124252319,0.0893538296222687,1.47559857368469,123.083335876465,186.66667175293,37279.28515625
